epoch,a,b,add_target,mm21_target,total_epochs,q1_exclusive_rate,q2_exclusive_rate,split_rate,tie_or_missing_rate,q1_exclusive_count,q2_exclusive_count,split_count,tie_or_missing_count
0,13,4,17,10,1,0.0,0.0,0.0,1.0,0,0,0,1
0,13,5,18,2,1,0.0,0.0,0.0,1.0,0,0,0,1
0,14,0,14,0,1,0.0,0.0,0.0,1.0,0,0,0,1
0,14,1,15,14,1,0.0,0.0,0.0,1.0,0,0,0,1
0,14,2,16,7,1,0.0,0.0,0.0,1.0,0,0,0,1
0,14,3,17,0,1,0.0,0.0,0.0,1.0,0,0,0,1
0,14,4,18,14,1,0.0,0.0,0.0,1.0,0,0,0,1
0,14,5,19,7,1,0.0,0.0,0.0,1.0,0,0,0,1
0,15,0,15,0,1,0.0,0.0,0.0,1.0,0,0,0,1
0,15,2,17,9,1,0.0,0.0,0.0,1.0,0,0,0,1
0,16,0,16,0,1,0.0,0.0,0.0,1.0,0,0,0,1
0,16,2,18,11,1,0.0,0.0,0.0,1.0,0,0,0,1
0,16,3,19,6,1,0.0,0.0,0.0,1.0,0,0,0,1
0,17,0,17,0,1,0.0,0.0,0.0,1.0,0,0,0,1
0,17,1,18,17,1,0.0,0.0,0.0,1.0,0,0,0,1
0,17,2,19,13,1,0.0,0.0,0.0,1.0,0,0,0,1
0,17,3,20,9,1,0.0,0.0,0.0,1.0,0,0,0,1
0,18,0,18,0,1,0.0,0.0,0.0,1.0,0,0,0,1
0,18,2,20,15,1,0.0,0.0,0.0,1.0,0,0,0,1
0,19,0,19,0,1,0.0,0.0,0.0,1.0,0,0,0,1
0,19,1,20,19,1,0.0,0.0,0.0,1.0,0,0,0,1
0,20,0,20,0,1,0.0,0.0,0.0,1.0,0,0,0,1
500,0,2,2,0,500,0.0,0.004,0.958,0.038,0,2,479,19
500,0,5,5,0,500,0.006,0.008,0.954,0.032,3,4,477,16
500,0,6,6,0,500,0.028,0.01,0.908,0.054,14,5,454,27
500,0,7,7,0,500,0.954,0.004,0.0,0.042,477,2,0,21
500,0,8,8,0,500,0.044,0.004,0.918,0.034,22,2,459,17
500,0,10,10,0,500,0.012,0.008,0.936,0.044,6,4,468,22
500,0,11,11,0,500,0.008,0.006,0.948,0.038,4,3,474,19
500,0,14,14,0,500,0.658,0.008,0.26,0.074,329,4,130,37
500,0,15,15,0,500,0.016,0.008,0.94,0.036,8,4,470,18
500,0,16,16,0,500,0.008,0.008,0.944,0.04,4,4,472,20
500,0,20,20,0,500,0.028,0.006,0.928,0.038,14,3,464,19
500,1,0,1,0,500,0.002,0.002,0.964,0.032,1,1,482,16
500,1,1,2,1,500,0.05,0.254,0.426,0.27,25,127,213,135
500,1,3,4,3,500,0.244,0.136,0.308,0.312,122,68,154,156
500,1,4,5,4,500,0.086,0.298,0.452,0.164,43,149,226,82
500,1,5,6,5,500,0.06,0.086,0.468,0.386,30,43,234,193
500,1,7,8,7,500,0.054,0.014,0.89,0.042,27,7,445,21
500,1,8,9,8,500,0.086,0.04,0.804,0.07,43,20,402,35
500,1,9,10,9,500,0.062,0.04,0.824,0.074,31,20,412,37
500,1,11,12,11,500,0.056,0.038,0.848,0.058,28,19,424,29
500,1,13,14,13,500,0.096,0.01,0.824,0.07,48,5,412,35
500,1,14,15,14,500,0.108,0.046,0.75,0.096,54,23,375,48
500,1,18,19,18,500,0.164,0.082,0.606,0.148,82,41,303,74
500,1,19,20,19,500,0.102,0.074,0.63,0.194,51,37,315,97
500,2,3,5,6,500,0.102,0.092,0.614,0.192,51,46,307,96
500,2,8,10,16,500,0.09,0.174,0.406,0.33,45,87,203,165
500,2,10,12,20,500,0.098,0.046,0.712,0.144,49,23,356,72
500,2,11,13,1,500,0.046,0.484,0.166,0.304,23,242,83,152
500,2,12,14,3,500,0.11,0.052,0.716,0.122,55,26,358,61
500,2,14,16,7,500,0.002,0.006,0.948,0.044,1,3,474,22
500,2,15,17,9,500,0.136,0.054,0.708,0.102,68,27,354,51
500,2,18,20,15,500,0.102,0.668,0.07,0.16,51,334,35,80
500,3,0,3,0,500,0.076,0.01,0.884,0.03,38,5,442,15
500,3,2,5,6,500,0.064,0.152,0.58,0.204,32,76,290,102
500,3,4,7,12,500,0.214,0.042,0.668,0.076,107,21,334,38
500,3,5,8,15,500,0.086,0.19,0.52,0.204,43,95,260,102
500,3,6,9,18,500,0.168,0.114,0.626,0.092,84,57,313,46
500,3,7,10,0,500,0.018,0.01,0.94,0.032,9,5,470,16
500,3,8,11,3,500,0.018,0.09,0.82,0.072,9,45,410,36
500,3,9,12,6,500,0.122,0.04,0.75,0.088,61,20,375,44
500,3,10,13,9,500,0.042,0.026,0.856,0.076,21,13,428,38
500,3,13,16,18,500,0.118,0.034,0.624,0.224,59,17,312,112
500,3,14,17,0,500,0.056,0.016,0.872,0.056,28,8,436,28
500,3,15,18,3,500,0.5,0.08,0.234,0.186,250,40,117,93
500,3,16,19,6,500,0.05,0.02,0.874,0.056,25,10,437,28
500,3,17,20,9,500,0.14,0.048,0.692,0.12,70,24,346,60
500,4,0,4,0,500,0.004,0.0,0.956,0.04,2,0,478,20
500,4,2,6,8,500,0.106,0.098,0.656,0.14,53,49,328,70
500,4,5,9,20,500,0.122,0.018,0.79,0.07,61,9,395,35
500,4,6,10,3,500,0.112,0.128,0.61,0.15,56,64,305,75
500,4,7,11,7,500,0.012,0.004,0.936,0.048,6,2,468,24
500,4,8,12,11,500,0.048,0.048,0.856,0.048,24,24,428,24
500,4,9,13,15,500,0.08,0.208,0.482,0.23,40,104,241,115
500,4,10,14,19,500,0.448,0.02,0.376,0.156,224,10,188,78
500,4,11,15,2,500,0.038,0.128,0.618,0.216,19,64,309,108
500,4,12,16,6,500,0.252,0.056,0.43,0.262,126,28,215,131
500,4,13,17,10,500,0.06,0.018,0.85,0.072,30,9,425,36
500,4,14,18,14,500,0.118,0.022,0.784,0.076,59,11,392,38
500,4,16,20,1,500,0.002,0.098,0.848,0.052,1,49,424,26
500,5,0,5,0,500,0.002,0.004,0.966,0.028,1,2,483,14
500,5,2,7,10,500,0.034,0.026,0.862,0.078,17,13,431,39
500,5,3,8,15,500,0.068,0.114,0.656,0.162,34,57,328,81
500,5,4,9,20,500,0.116,0.026,0.784,0.074,58,13,392,37
500,5,5,10,4,500,0.044,0.612,0.194,0.15,22,306,97,75
500,5,7,12,14,500,0.218,0.058,0.63,0.094,109,29,315,47
500,5,9,14,3,500,0.082,0.04,0.73,0.148,41,20,365,74
500,5,10,15,8,500,0.058,0.058,0.796,0.088,29,29,398,44
500,5,11,16,13,500,0.024,0.072,0.776,0.128,12,36,388,64
500,5,12,17,18,500,0.046,0.074,0.684,0.196,23,37,342,98
500,5,14,19,7,500,0.072,0.032,0.844,0.052,36,16,422,26
500,5,15,20,12,500,0.142,0.078,0.612,0.168,71,39,306,84
500,6,1,7,6,500,0.082,0.018,0.85,0.05,41,9,425,25
500,6,2,8,12,500,0.084,0.042,0.772,0.102,42,21,386,51
500,6,6,12,15,500,0.23,0.094,0.552,0.124,115,47,276,62
500,6,8,14,6,500,0.086,0.022,0.81,0.082,43,11,405,41
500,6,9,15,12,500,0.07,0.04,0.762,0.128,35,20,381,64
500,6,12,18,9,500,0.148,0.07,0.684,0.098,74,35,342,49
500,6,13,19,15,500,0.106,0.048,0.77,0.076,53,24,385,38
500,7,0,7,0,500,0.952,0.004,0.004,0.04,476,2,2,20
500,7,1,8,7,500,0.034,0.016,0.922,0.028,17,8,461,14
